"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2005 Municipal Election","JUNIATA","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","2,014","3,439","","","","","","","","",""
"2005 Municipal Election","JUNIATA","Judge of the Court of Common Pleas","41st Judicial District (Juniata & Perry Counties)","Democratic / Republican","MORROW, KATHY A. KATE","5,362","0","0","","","","","","","","",""
"2005 Municipal Election","LACKAWANNA","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","15,312","11,154","","","","","","","","",""
"2005 Municipal Election","LACKAWANNA","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","14,606","11,568","","","","","","","","",""
"2005 Municipal Election","LACKAWANNA","Judge of the Court of Common Pleas (Retention)","45th Judicial District (Lackawanna County)","","MINORA                   , CARMEN           D.","","26,328","5,998","","","","","","","","",""
"2005 Municipal Election","LACKAWANNA","Judge of the Court of Common Pleas","45th Judicial District (Lackawanna County)","Democratic / Republican","MUNLEY, TOM","49,458","0","0","","","","","","","","",""
"2005 Municipal Election","LANCASTER","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","16,260","28,071","","","","","","","","",""
"2005 Municipal Election","LANCASTER","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","14,014","29,359","","","","","","","","",""
"2005 Municipal Election","LANCASTER","Judge of the Court of Common Pleas (Retention)","2nd Judicial District (Lancaster County)","","FARINA                   , LOUIS            J.","","28,749","14,626","","","","","","","","",""
"2005 Municipal Election","LANCASTER","Judge of the Court of Common Pleas (Retention)","2nd Judicial District (Lancaster County)","","GEORGELIS                , MICHAEL          A.","","29,978","13,873","","","","","","","","",""
"2005 Municipal Election","LANCASTER","Judge of the Court of Common Pleas","2nd Judicial District (Lancaster County)","Democratic","MECUM, SAMUEL M.","31,510","0","0","","","","","","","","",""
"2005 Municipal Election","LANCASTER","Judge of the Court of Common Pleas","2nd Judicial District (Lancaster County)","Republican","REINAKER, DENNIS","36,473","0","0","","","","","","","","",""
"2005 Municipal Election","LAWRENCE","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","13,722","8,032","","","","","","","","",""
"2005 Municipal Election","LAWRENCE","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","12,814","8,834","","","","","","","","",""
"2005 Municipal Election","LAWRENCE","Judge of the Court of Common Pleas (Retention)","53rd Judicial District (Lawrence County)","","MOTTO                    , DOMINICK","","18,687","4,737","","","","","","","","",""
"2005 Municipal Election","LAWRENCE","Judge of the Court of Common Pleas","53rd Judicial District (Lawrence County)","Democratic","MANGINO, MATTHEW T.","12,391","0","0","","","","","","","","",""
"2005 Municipal Election","LAWRENCE","Judge of the Court of Common Pleas","53rd Judicial District (Lawrence County)","Republican","HODGE, JOHN W.","12,660","0","0","","","","","","","","",""
"2005 Municipal Election","LEBANON","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","5,291","11,245","","","","","","","","",""
"2005 Municipal Election","LEBANON","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","4,411","11,915","","","","","","","","",""
"2005 Municipal Election","LEBANON","Judge of the Court of Common Pleas (Retention)","52nd Judicial District (Lebanon County)","","KLINE                    , SAMUEL           A.","","9,827","6,855","","","","","","","","",""
"2005 Municipal Election","LEHIGH","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","17,060","16,345","","","","","","","","",""
"2005 Municipal Election","LEHIGH","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","15,127","17,349","","","","","","","","",""
"2005 Municipal Election","LEHIGH","Judge of the Court of Common Pleas (Retention)","31st Judicial District (Lehigh County)","","MCGINLEY                 , CAROL            K.","","25,546","8,220","","","","","","","","",""
"2005 Municipal Election","LEHIGH","Judge of the Court of Common Pleas (Retention)","31st Judicial District (Lehigh County)","","PLATT                    , WILLIAM          H.","","24,368","8,461","","","","","","","","",""
"2005 Municipal Election","LUZERNE","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","15,839","15,364","","","","","","","","",""
"2005 Municipal Election","LUZERNE","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","15,494","16,141","","","","","","","","",""
"2005 Municipal Election","LUZERNE","Judge of the Court of Common Pleas (Retention)","11th Judicial District (Luzerne County)","","CIAVARELLA               , MARK             A.","","21,069","14,367","","","","","","","","",""
"2005 Municipal Election","LYCOMING","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","8,292","4,003","","","","","","","","",""
"2005 Municipal Election","LYCOMING","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","7,609","4,421","","","","","","","","",""
"2005 Municipal Election","LYCOMING","Judge of the Court of Common Pleas (Retention)","29th Judicial District (Lycoming County)","","BUTTS                    , NANCY            L.","","11,412","2,287","","","","","","","","",""
"2005 Municipal Election","McKEAN","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","1,768","777","","","","","","","","",""
"2005 Municipal Election","McKEAN","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","1,411","885","","","","","","","","",""
"2005 Municipal Election","McKEAN","Judge of the Court of Common Pleas","48th Judicial District (McKean County)","Democratic / Republican","CLELAND, JOHN M.","5,350","0","0","","","","","","","","",""
"2005 Municipal Election","MERCER","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","9,296","7,943","","","","","","","","",""
"2005 Municipal Election","MERCER","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","8,269","8,612","","","","","","","","",""
"2005 Municipal Election","MERCER","Judge of the Court of Common Pleas (Retention)","35th Judicial District (Mercer County)","","DOBSON                   , THOMAS           R.","","13,272","4,778","","","","","","","","",""
"2005 Municipal Election","MIFFLIN","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","1,218","2,951","","","","","","","","",""
"2005 Municipal Election","MIFFLIN","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","1,018","3,060","","","","","","","","",""
"2005 Municipal Election","MIFFLIN","Judge of the Court of Common Pleas","58th Judicial District (Mifflin County)","Democratic / Republican","WILLIAMS, RICK","5,639","0","0","","","","","","","","",""
"2005 Municipal Election","MONROE","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","6,678","3,451","","","","","","","","",""
"2005 Municipal Election","MONROE","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","6,885","3,421","","","","","","","","",""
"2005 Municipal Election","MONROE","Judge of the Court of Common Pleas","43rd Judicial District (Monroe County)","Democratic","WISE, JENNIFER ANN","8,540","0","0","","","","","","","","",""
"2005 Municipal Election","MONROE","Judge of the Court of Common Pleas","43rd Judicial District (Monroe County)","Democratic / Republican","ZULICK, ARTHUR L.","15,277","0","0","","","","","","","","",""
"2005 Municipal Election","MONROE","Judge of the Court of Common Pleas","43rd Judicial District (Monroe County)","Republican","MARK, JON","11,007","0","0","","","","","","","","",""
"2005 Municipal Election","MONTGOMERY","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","55,993","21,815","","","","","","","","",""
"2005 Municipal Election","MONTGOMERY","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","48,181","24,046","","","","","","","","",""
"2005 Municipal Election","MONTGOMERY","Judge of the Court of Common Pleas (Retention)","38th Judicial District (Montgomery County)","","ALBRIGHT                 , KENT             H.","","53,363","16,185","","","","","","","","",""
"2005 Municipal Election","MONTGOMERY","Judge of the Court of Common Pleas (Retention)","38th Judicial District (Montgomery County)","","BERTIN                   , EMANUEL          A.","","50,988","16,373","","","","","","","","",""
"2005 Municipal Election","MONTGOMERY","Judge of the Court of Common Pleas (Retention)","38th Judicial District (Montgomery County)","","CORSO                    , S.               GERALD","","52,549","16,105","","","","","","","","",""
"2005 Municipal Election","MONTGOMERY","Judge of the Court of Common Pleas (Retention)","38th Judicial District (Montgomery County)","","DANIELE                  , RHONDA           LEE","","53,395","16,122","","","","","","","","",""
"2005 Municipal Election","MONTGOMERY","Judge of the Court of Common Pleas (Retention)","38th Judicial District (Montgomery County)","","HODGSON                  , RICHARD          J.","","51,772","15,829","","","","","","","","",""
"2005 Municipal Election","MONTGOMERY","Judge of the Court of Common Pleas (Retention)","38th Judicial District (Montgomery County)","","SMYTH                    , JOSEPH           A.","","53,105","15,736","","","","","","","","",""
"2005 Municipal Election","MONTOUR","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","1,569","766","","","","","","","","",""
"2005 Municipal Election","MONTOUR","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","1,422","868","","","","","","","","",""
"2005 Municipal Election","NORTHAMPTON","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","12,812","11,185","","","","","","","","",""
"2005 Municipal Election","NORTHAMPTON","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","11,344","11,999","","","","","","","","",""
"2005 Municipal Election","NORTHAMPTON","Judge of the Court of Common Pleas","3rd Judicial District (Northampton County)","Democratic / Republican","BELTRAMI, ANTHONY","29,093","0","0","","","","","","","","",""
"2005 Municipal Election","NORTHAMPTON","Judge of the Court of Common Pleas","3rd Judicial District (Northampton County)","Democratic / Republican","ROSCIOLI, PAULA A.","32,947","0","0","","","","","","","","",""
